State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,23-09-2025,1300,3800,2800
Andhra Pradesh,Chittor,Palamaner,Brinjal,Brinjal,FAQ,23-09-2025,800,1500,1000
Andhra Pradesh,Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,23-09-2025,1500,2300,2000
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Hybrid,FAQ,23-09-2025,3000,3400,3200
Andhra Pradesh,Chittor,Vepanjari,Gur(Jaggery),Achhu,FAQ,23-09-2025,2500,3000,2700
Andhra Pradesh,Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,23-09-2025,5400,6456,5400
Andhra Pradesh,Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,23-09-2025,2200,2400,2300
Andhra Pradesh,Kurnool,Kurnool,Castor Seed,Other,FAQ,23-09-2025,1870,5869,5829
Andhra Pradesh,Vijayanagaram,Vijayanagaram,Banana,Banana - Ripe,Medium,23-09-2025,800,800,800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Cauliflower,FAQ,23-09-2025,1500,3500,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,23-09-2025,700,1500,1100
Gujarat,Ahmedabad,Mandal,Cummin Seed(Jeera),Other,FAQ,23-09-2025,16755,18215,17500
Gujarat,Amreli,Babra,Cotton,Shanker 6 (B) 30mm FIne,FAQ,23-09-2025,7175,7875,7525
Gujarat,Amreli,Babra,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,23-09-2025,13000,19550,16275
Gujarat,Amreli,Bagasara,Bengal Gram(Gram)(Whole),Average (Whole),Non-FAQ,23-09-2025,5000,5305,5152
Gujarat,Amreli,Bagasara,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,23-09-2025,4350,6200,5275
Gujarat,Amreli,Damnagar,Cabbage,Cabbage,FAQ,23-09-2025,1200,2050,1650
Gujarat,Amreli,Rajula,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,23-09-2025,16255,16255,16255
Gujarat,Amreli,Rajula,Wheat,PISSI,FAQ,23-09-2025,2575,2860,2718
Gujarat,Amreli,Savarkundla,Arhar (Tur/Red Gram)(Whole),Small (Whole),FAQ,23-09-2025,4250,5585,5250
Gujarat,Amreli,Savarkundla,Wheat,Bansi,FAQ,23-09-2025,2500,3070,2825
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,23-09-2025,2295,2615,2555
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Brinjal,Other,FAQ,23-09-2025,5000,6000,5500
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Onion,Other,FAQ,23-09-2025,1200,2000,1600
Gujarat,Banaskanth,Deesa,Castor Seed,Other,FAQ,23-09-2025,6360,6425,6400
Gujarat,Banaskanth,Deesa,Groundnut,Other,FAQ,23-09-2025,3605,6505,5250
Gujarat,Banaskanth,Deesa,Rajgir,Other,FAQ,23-09-2025,5055,5700,5650
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bitter gourd,Other,FAQ,23-09-2025,1000,1750,1375
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bottle gourd,Other,FAQ,23-09-2025,2000,2750,2375
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Brinjal,Other,FAQ,23-09-2025,5000,8250,6625
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Gram Raw(Chholia),Other,FAQ,23-09-2025,4000,4700,4350
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Guar,Other,FAQ,23-09-2025,3500,4750,4125
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Mousambi(Sweet Lime),Other,Medium,23-09-2025,3000,4250,3625
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pineapple,Other,Medium,23-09-2025,4500,5150,4825
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Tomato,Other,FAQ,23-09-2025,1000,1700,1350
Gujarat,Banaskanth,Vadgam,Bajra(Pearl Millet/Cumbu),Other,FAQ,23-09-2025,1750,2300,2300
Gujarat,Banaskanth,Vadgam,Wheat,147 Average,FAQ,23-09-2025,2605,2605,2605
Gujarat,Bharuch,Bharuch,Banana - Green,Other,FAQ,23-09-2025,400,800,600
Gujarat,Bharuch,Bharuch,Bhindi(Ladies Finger),Other,FAQ,23-09-2025,1500,2500,2000
Gujarat,Bharuch,Jambusar,Arhar (Tur/Red Gram)(Whole),Other,FAQ,23-09-2025,6600,7000,6800
Gujarat,Bharuch,Jambusar,Bajra(Pearl Millet/Cumbu),Other,FAQ,23-09-2025,2100,2500,2300
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,FAQ,23-09-2025,3300,3900,3600
Gujarat,Bhavnagar,Taleja,Bengal Gram(Gram)(Whole),Other,FAQ,23-09-2025,4475,5400,4940
Gujarat,Bhavnagar,Taleja,Cotton,Shanker 6 (B) 30mm FIne,FAQ,23-09-2025,3500,6855,5180
Gujarat,Bhavnagar,Taleja,Groundnut,Bold,FAQ,23-09-2025,5630,5895,5765
Gujarat,Chhota Udaipur,Bodeliu,Maize,Deshi Red,FAQ,23-09-2025,2050,2101,2075
Gujarat,Dahod,Dahod(Veg. Market),Bitter gourd,Bitter Gourd,FAQ,23-09-2025,1200,3000,2500
Gujarat,Dahod,Dahod(Veg. Market),Bottle gourd,Bottle Gourd,FAQ,23-09-2025,1000,2500,2000
Gujarat,Dahod,Dahod(Veg. Market),Brinjal,Brinjal,FAQ,23-09-2025,1000,4000,2000
Gujarat,Dahod,Dahod(Veg. Market),Onion Green,Onion Green,FAQ,23-09-2025,1000,3000,2500
Gujarat,Gandhinagar,Kalol,Wheat,Other,FAQ,23-09-2025,2500,2725,2600
Gujarat,Gir Somnath,Veraval,Green Gram (Moong)(Whole),Other,FAQ,23-09-2025,7025,9050,7490
Gujarat,Gir Somnath,Veraval,Groundnut,G20,FAQ,23-09-2025,3755,4655,4350
Gujarat,Gir Somnath,Veraval,Millets,Millets,FAQ,23-09-2025,2000,2600,2500
Gujarat,Gir Somnath,Veraval,Soyabean,Other,FAQ,23-09-2025,4005,4250,4150
Gujarat,Jamnagar,Jamnagar,Black Gram (Urd Beans)(Whole),Other,FAQ,23-09-2025,4700,6625,6125
Gujarat,Junagarh,Bhesan,Bengal Gram(Gram)(Whole),Other,FAQ,23-09-2025,4000,5250,5000
Gujarat,Junagarh,Bhesan,Cotton,Other,FAQ,23-09-2025,5000,7850,7500
Gujarat,Kheda,Nadiad,Tomato,Other,FAQ,23-09-2025,2500,3000,2800
Gujarat,Kheda,Nadiyad(Piplag),Bitter gourd,Bitter Gourd,FAQ,23-09-2025,1000,1500,1200
Gujarat,Kheda,Nadiyad(Piplag),Bottle gourd,Bottle Gourd,FAQ,23-09-2025,1500,2000,1700
Gujarat,Kheda,Nadiyad(Piplag),Cabbage,Cabbage,FAQ,23-09-2025,1500,2000,1800
Gujarat,Kheda,Nadiyad(Piplag),Lemon,Lemon,FAQ,23-09-2025,5000,6000,5500
Gujarat,Kheda,Nadiyad(Piplag),Onion,Onion,FAQ,23-09-2025,1500,1700,1650
Gujarat,Kheda,Nadiyad(Piplag),Potato,Potato,FAQ,23-09-2025,1200,1300,1250
Gujarat,Kheda,Thasara(Dokar),Bajra(Pearl Millet/Cumbu),Deshi,FAQ,23-09-2025,1800,2130,1900
Gujarat,Mehsana,Visnagar,Cotton,Other,FAQ,23-09-2025,5500,7850,6675
Gujarat,Morbi,Halvad,Corriander seed,Other,FAQ,23-09-2025,7000,7250,7100
Gujarat,Morbi,Halvad,Soanf,Other,FAQ,23-09-2025,5225,7200,5750
Gujarat,Morbi,Vankaner,Groundnut,Other,FAQ,23-09-2025,4195,6550,5175
Gujarat,Navsari,Bilimora,Cauliflower,Other,FAQ,23-09-2025,1750,3000,2400
Gujarat,Navsari,Bilimora,Potato,Other,FAQ,23-09-2025,1500,2300,1900
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,23-09-2025,1000,2000,1500
Gujarat,Navsari,Navsari,Bottle gourd,Bottle Gourd,FAQ,23-09-2025,4000,4500,4250
Gujarat,Navsari,Navsari,Brinjal,Arkasheela Mattigulla,FAQ,23-09-2025,3500,6000,4750
Gujarat,Navsari,Navsari,Lemon,Lemon,FAQ,23-09-2025,3500,4000,3750
Gujarat,Patan,Harij,Cummin Seed(Jeera),Other,FAQ,23-09-2025,16000,17950,16975
Gujarat,Patan,Sami,Ajwan,Other,FAQ,23-09-2025,7000,8750,8500
Gujarat,Patan,Siddhpur,Barley (Jau),Deshi,FAQ,23-09-2025,2555,2555,2555
Gujarat,Patan,Siddhpur,Mustard,Mustard,FAQ,23-09-2025,6275,6420,6347
Gujarat,Patan,Siddhpur,Wheat,Hybrid,FAQ,23-09-2025,2575,2755,2665
Gujarat,Porbandar,Porbandar,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,23-09-2025,1600,1625,1610
Gujarat,Porbandar,Porbandar,Banana,Amruthapani,Large,23-09-2025,1500,2000,1750
Gujarat,Porbandar,Porbandar,Beans,Beans (Whole),FAQ,23-09-2025,4575,4575,4575
Gujarat,Porbandar,Porbandar,Black Gram (Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,23-09-2025,5675,5675,5675
Gujarat,Porbandar,Porbandar,Ginger(Green),Green Ginger,FAQ,23-09-2025,3000,5000,4000
Gujarat,Porbandar,Porbandar,Potato,(Red Nanital),FAQ,23-09-2025,1000,1500,1250
Gujarat,Porbandar,Porbandar,Soyabean,Soyabeen,Non-FAQ,23-09-2025,3625,3625,3625
Gujarat,Porbandar,Porbandar,Tomato,Deshi,FAQ,23-09-2025,1500,2500,2000
Gujarat,Porbandar,Porbandar,Water Melon,Water Melon,Large,23-09-2025,750,1250,1000
Gujarat,Porbandar,Porbandar,Wheat,Other,FAQ,23-09-2025,2640,2640,2640
Gujarat,Rajkot,Dhoraji,Castor Seed,Castor seed,FAQ,23-09-2025,5780,6130,6130
Gujarat,Rajkot,Dhoraji,Cotton,H.B (Unginned),Non-FAQ,23-09-2025,6280,7755,7205
Gujarat,Rajkot,Dhoraji,Wheat,Lokwan,Non-FAQ,23-09-2025,2390,2585,2540
Gujarat,Rajkot,Gondal(Veg.market Gondal),Cucumbar(Kheera),Cucumbar,FAQ,23-09-2025,1000,4500,2750
Gujarat,Rajkot,Gondal(Veg.market Gondal),Papaya,Other,Medium,23-09-2025,200,1000,600
Gujarat,Rajkot,Gondal(Veg.market Gondal),Tomato,Tomato,FAQ,23-09-2025,800,3200,2000
Gujarat,Rajkot,Jasdan,Beans,Other,FAQ,23-09-2025,2500,3750,3000
Gujarat,Rajkot,Jasdan,Garlic,Garlic,FAQ,23-09-2025,1500,1500,1500
Gujarat,Rajkot,Jasdan,Ground Nut Seed,Ground Nut Seed,FAQ,23-09-2025,100,130,120
Gujarat,Rajkot,Jasdan,Groundnut,G20,FAQ,23-09-2025,3625,5000,4500
Gujarat,Rajkot,Jasdan,Jowar(Sorghum),Jowar ( White),FAQ,23-09-2025,1500,3650,3250
Gujarat,Rajkot,Jasdan,Wheat,2189 No. 2,FAQ,23-09-2025,2425,2850,2525
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,23-09-2025,15000,17500,16000
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Groundnut,Bold,FAQ,23-09-2025,3205,5405,5105
Gujarat,Rajkot,Jetpur(Dist.Rajkot),"Sesamum(Sesame,Gingelly,Til)",White,FAQ,23-09-2025,5505,10055,9005
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Soyabean,Soyabeen,FAQ,23-09-2025,3900,4255,4125
Gujarat,Rajkot,Rajkot,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,23-09-2025,4875,6345,5825
Gujarat,Rajkot,Rajkot,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,23-09-2025,1815,2040,1940
Gujarat,Rajkot,Rajkot,Black Gram (Urd Beans)(Whole),Desi,FAQ,23-09-2025,5250,7660,6500
Gujarat,Rajkot,Rajkot,Corriander seed,"A-1, Green",FAQ,23-09-2025,7250,8130,7625
Gujarat,Rajkot,Rajkot,Corriander seed,Coriander Seed,FAQ,23-09-2025,6750,7605,7425
Gujarat,Rajkot,Rajkot,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,23-09-2025,16100,17845,17360
Gujarat,Rajkot,Rajkot,Green Gram (Moong)(Whole),Green (Whole),FAQ,23-09-2025,5500,9090,7400
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Green Chilli,Green Chilly,FAQ,23-09-2025,500,3000,1750
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Potato,Desi,FAQ,23-09-2025,1000,2000,1500
Gujarat,Sabarkantha,Himatnagar,Maize,Yellow,FAQ,23-09-2025,2225,2295,2295
Gujarat,Sabarkantha,Himatnagar,Wheat,Sonalika,FAQ,23-09-2025,2610,2895,2800
Gujarat,Sabarkantha,Modasa(Tintoi),Maize,Hybrid Red (Cattle Feed),Non-FAQ,23-09-2025,1900,2030,2030
Gujarat,Sabarkantha,Modasa(Tintoi),Wheat,Lokwan,FAQ,23-09-2025,2400,2580,2580
Gujarat,Surat,Songadh(Umrada),Guar,Guaar,FAQ,23-09-2025,5000,6050,5605
Gujarat,Surendranagar,Dasada Patadi,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,23-09-2025,16700,17750,17325
Gujarat,Surendranagar,Dhragradhra,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,23-09-2025,17255,17255,17255
Gujarat,Surendranagar,Dhragradhra,Groundnut,M-37,Non-FAQ,23-09-2025,4000,4525,4400
Gujarat,Surendranagar,Dhragradhra,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,23-09-2025,6770,7870,7750
Gujarat,Valsad,Chikli(Khorgam),Tinda,Other,FAQ,23-09-2025,8000,8750,8375
Haryana,Ambala,Barara,Peas Wet,Other,FAQ,23-09-2025,2000,2000,2000
Haryana,Ambala,Barara,Potato,Other,Non-FAQ,23-09-2025,700,900,800
Haryana,Ambala,Naraingarh,Apple,Other,Large,23-09-2025,5000,8000,6500
